State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Australian Capital Territory,Acton ,11,0,0,0,No Risk,Body stressing,Hitting objects with a part of the body,15,5,0,0,2021-07-18 08:36:47.865692+00:00
Australian Capital Territory,Ainslie,35,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,9,0,0,2021-07-18 08:36:47.865692+00:01
Australian Capital Territory,Amaroo ,19,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,8,0,0,2021-07-18 08:36:47.865692+00:02
Australian Capital Territory,Aranda,31,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,6,0,0,2021-07-18 08:36:47.865692+00:03
Australian Capital Territory,Banks,25,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,12,0,0,2021-07-18 08:36:47.865692+00:04
Australian Capital Territory,Barton,10,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,10,0,0,2021-07-18 08:36:47.865692+00:05
Australian Capital Territory,Belconnen,28,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,14,0,0,2021-07-18 08:36:47.865692+00:06
Australian Capital Territory,Bonner,32,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,5,0,0,2021-07-18 08:36:47.865692+00:07
Australian Capital Territory,Bonython,19,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,7,0,0,2021-07-18 08:36:47.865692+00:08
Australian Capital Territory,Braddon,10,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,11,0,0,2021-07-18 08:36:47.865692+00:09
Australian Capital Territory,Bruce ,27,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,13,0,0,2021-07-18 08:36:47.865692+00:10
Australian Capital Territory,Calwell,26,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,7,0,0,2021-07-18 08:36:47.865692+00:11
Australian Capital Territory,Campbell,31,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,6,0,0,2021-07-18 08:36:47.865692+00:12
Australian Capital Territory,Casey,21,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,11,0,0,2021-07-18 08:36:47.865692+00:13
Australian Capital Territory,Chapman,32,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,14,0,0,2021-07-18 08:36:47.865692+00:14
Australian Capital Territory,Charnwood,24,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,7,0,0,2021-07-18 08:36:47.865692+00:15
Australian Capital Territory,Chifley ,27,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,9,0,0,2021-07-18 08:36:47.865692+00:16
Australian Capital Territory,Chisholm ,10,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,11,0,0,2021-07-18 08:36:47.865692+00:17
Australian Capital Territory,City,20,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,7,0,0,2021-07-18 08:36:47.865692+00:18
Australian Capital Territory,Conder,23,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,9,0,0,2021-07-18 08:36:47.865692+00:19
Australian Capital Territory,Cook,17,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,13,0,0,2021-07-18 08:36:47.865692+00:20
Australian Capital Territory,Crace,32,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,6,0,0,2021-07-18 08:36:47.865692+00:21
Australian Capital Territory,Curtin,21,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,5,0,0,2021-07-18 08:36:47.865692+00:22
Australian Capital Territory,Deakin,31,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,10,0,0,2021-07-18 08:36:47.865692+00:23
Australian Capital Territory,Dickson,35,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,8,0,0,2021-07-18 08:36:47.865692+00:24
Australian Capital Territory,Downer,18,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,11,0,0,2021-07-18 08:36:47.865692+00:25
Australian Capital Territory,Duffy,14,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,8,0,0,2021-07-18 08:36:47.865692+00:26
Australian Capital Territory,Dunlop,32,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,12,0,0,2021-07-18 08:36:47.865692+00:27
Australian Capital Territory,Evatt,31,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,9,0,0,2021-07-18 08:36:47.865692+00:28
Australian Capital Territory,Fadden,12,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,11,0,0,2021-07-18 08:36:47.865692+00:29
Australian Capital Territory,Farrer,32,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,7,0,0,2021-07-18 08:36:47.865692+00:30
Australian Capital Territory,Fisher ,18,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,14,0,0,2021-07-18 08:36:47.865692+00:31
Australian Capital Territory,Florey,33,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,13,0,0,2021-07-18 08:36:47.865692+00:32
Australian Capital Territory,Flynn ,28,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,13,0,0,2021-07-18 08:36:47.865692+00:33
Australian Capital Territory,Forde,24,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,14,0,0,2021-07-18 08:36:47.865692+00:34
Australian Capital Territory,Forrest ,17,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,12,0,0,2021-07-18 08:36:47.865692+00:35
Australian Capital Territory,Franklin ,35,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,9,0,0,2021-07-18 08:36:47.865692+00:36
Australian Capital Territory,Fraser,12,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,11,0,0,2021-07-18 08:36:47.865692+00:37
Australian Capital Territory,Garran,22,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,9,0,0,2021-07-18 08:36:47.865692+00:38
Australian Capital Territory,Gilmore ,16,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,8,0,0,2021-07-18 08:36:47.865692+00:39
Australian Capital Territory,Giralang,12,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,12,0,0,2021-07-18 08:36:47.865692+00:40
Australian Capital Territory,Gordon ,15,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,12,0,0,2021-07-18 08:36:47.865692+00:41
Australian Capital Territory,Gowrie ,27,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,12,0,0,2021-07-18 08:36:47.865692+00:42
Australian Capital Territory,Greenway,21,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,11,0,0,2021-07-18 08:36:47.865692+00:43
Australian Capital Territory,Griffith ,23,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,13,0,0,2021-07-18 08:36:47.865692+00:44
Australian Capital Territory,Gungahlin,19,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,14,0,0,2021-07-18 08:36:47.865692+00:45
Australian Capital Territory,Hackett,21,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,13,0,0,2021-07-18 08:36:47.865692+00:46
Australian Capital Territory,Hall,35,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,5,0,0,2021-07-18 08:36:47.865692+00:47
Australian Capital Territory,Harrison,35,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,9,0,0,2021-07-18 08:36:47.865692+00:48
Australian Capital Territory,Hawker ,23,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,14,0,0,2021-07-18 08:36:47.865692+00:49
Australian Capital Territory,Higgins,12,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,10,0,0,2021-07-18 08:36:47.865692+00:50
Australian Capital Territory,Holder ,20,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,9,0,0,2021-07-18 08:36:47.865692+00:51
Australian Capital Territory,Holt,18,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,11,0,0,2021-07-18 08:36:47.865692+00:52
Australian Capital Territory,Hughes ,22,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,7,0,0,2021-07-18 08:36:47.865692+00:53
Australian Capital Territory,Hume,24,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,12,0,0,2021-07-18 08:36:47.865692+00:54
Australian Capital Territory,Isaacs,16,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,11,0,0,2021-07-18 08:36:47.865692+00:55
Australian Capital Territory,Isabella Plains,19,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,12,0,0,2021-07-18 08:36:47.865692+00:56
Australian Capital Territory,Kaleen,19,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,11,0,0,2021-07-18 08:36:47.865692+00:57
Australian Capital Territory,Kambah,34,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,14,0,0,2021-07-18 08:36:47.865692+00:58
Australian Capital Territory,Kingston ,14,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,13,0,0,2021-07-18 08:36:47.865692+00:59
Australian Capital Territory,Latham ,33,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,19,11,0,0,2021-07-18 08:36:47.865692+00:60
Australian Capital Territory,Lawson ,31,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,6,0,0,2021-07-18 08:36:47.865692+00:61
Australian Capital Territory,Lyneham,12,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,15,5,0,0,2021-07-18 08:36:47.865692+00:62
Australian Capital Territory,Lyons ,22,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,17,8,0,0,2021-07-18 08:36:47.865692+00:63
Australian Capital Territory,Macarthur ,22,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,18,14,0,0,2021-07-18 08:36:47.865692+00:64
Australian Capital Territory,Macgregor ,34,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,16,14,0,0,2021-07-18 08:36:47.865692+00:65
Australian Capital Territory,Macquarie,10,0,0,0,No Risk, Being hit by moving objects,Hitting objects with a part of the body,20,11,0,0,2021-07-18 08:36:47.865692+00:66
