State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
New South Wales,Abbotsbury,93,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",58,34,0,0,2021-07-18 08:36:47.865692+00:00
New South Wales,Abbotsford ,111,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",75,28,0,0,2021-07-18 08:36:47.865692+00:01
New South Wales,Abercrombie,134,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",63,16,0,0,2021-07-18 08:36:47.865692+00:02
New South Wales,Aberdare,127,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",83,32,0,0,2021-07-18 08:36:47.865692+00:03
New South Wales,Aberdeen ,156,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",75,35,0,0,2021-07-18 08:36:47.865692+00:04
New South Wales,Aberfoyle,89,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",69,11,0,0,2021-07-18 08:36:47.865692+00:05
New South Wales,Aberglasslyn,87,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",82,35,0,0,2021-07-18 08:36:47.865692+00:06
New South Wales,Abermain,96,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",66,31,0,0,2021-07-18 08:36:47.865692+00:07
New South Wales,Abernethy,92,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",76,23,0,0,2021-07-18 08:36:47.865692+00:08
New South Wales,Acacia Gardens,140,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",70,39,0,0,2021-07-18 08:36:47.865692+00:09
New South Wales,Adaminaby,125,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",58,17,0,0,2021-07-18 08:36:47.865692+00:10
New South Wales,Adamstown,101,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",65,40,0,0,2021-07-18 08:36:47.865692+00:11
New South Wales,Adamstown Heights,149,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",76,23,0,0,2021-07-18 08:36:47.865692+00:12
New South Wales,Adelong,98,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",72,34,0,0,2021-07-18 08:36:47.865692+00:13
New South Wales,Agnes Banks,117,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",81,29,0,0,2021-07-18 08:36:47.865692+00:14
New South Wales,Airds,142,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",68,23,0,0,2021-07-18 08:36:47.865692+00:15
New South Wales,Akolele,143,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",66,13,0,0,2021-07-18 08:36:47.865692+00:16
New South Wales,Albion Park,108,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",51,24,0,0,2021-07-18 08:36:47.865692+00:17
New South Wales,Albion Park Rail,103,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",74,25,0,0,2021-07-18 08:36:47.865692+00:18
New South Wales,Albury,150,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",74,32,0,0,2021-07-18 08:36:47.865692+00:19
New South Wales,Aldavilla,94,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",83,31,0,0,2021-07-18 08:36:47.865692+00:20
New South Wales,Alexandria,86,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",56,19,0,0,2021-07-18 08:36:47.865692+00:21
New South Wales,Alfords Point,124,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,25,0,0,2021-07-18 08:36:47.865692+00:22
New South Wales,Alison ,113,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",77,23,0,0,2021-07-18 08:36:47.865692+00:23
New South Wales,Allambie Heights,146,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",75,20,0,0,2021-07-18 08:36:47.865692+00:24
New South Wales,Allandale ,96,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,33,0,0,2021-07-18 08:36:47.865692+00:25
New South Wales,Allawah,91,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",65,36,0,0,2021-07-18 08:36:47.865692+00:26
New South Wales,Allgomera,151,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",72,23,0,0,2021-07-18 08:36:47.865692+00:27
New South Wales,Allworth,110,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",54,32,0,0,2021-07-18 08:36:47.865692+00:28
New South Wales,Allynbrook,141,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",59,40,0,0,2021-07-18 08:36:47.865692+00:29
New South Wales,Alstonvale,146,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",64,16,0,0,2021-07-18 08:36:47.865692+00:30
New South Wales,Alstonville,144,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",53,35,0,0,2021-07-18 08:36:47.865692+00:31
New South Wales,Alumy Creek,153,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",78,32,0,0,2021-07-18 08:36:47.865692+00:32
New South Wales,Ambarvale,137,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",60,18,0,0,2021-07-18 08:36:47.865692+00:33
New South Wales,Angledale,119,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",53,25,0,0,2021-07-18 08:36:47.865692+00:34
New South Wales,Anglers Reach,119,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",65,39,0,0,2021-07-18 08:36:47.865692+00:35
New South Wales,Angourie,114,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",65,30,0,0,2021-07-18 08:36:47.865692+00:36
New South Wales,Anna Bay,156,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",76,19,0,0,2021-07-18 08:36:47.865692+00:37
New South Wales,Annandale ,127,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",75,16,0,0,2021-07-18 08:36:47.865692+00:38
New South Wales,Annangrove,109,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,10,0,0,2021-07-18 08:36:47.865692+00:39
New South Wales,Appin ,108,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",72,35,0,0,2021-07-18 08:36:47.865692+00:40
New South Wales,Apsley ,85,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",57,34,0,0,2021-07-18 08:36:47.865692+00:41
New South Wales,Arakoon,114,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",84,34,0,0,2021-07-18 08:36:47.865692+00:42
New South Wales,Araluen ,135,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",54,28,0,0,2021-07-18 08:36:47.865692+00:43
New South Wales,Arcadia ,89,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",84,17,0,0,2021-07-18 08:36:47.865692+00:44
New South Wales,Arcadia Vale,90,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",56,32,0,0,2021-07-18 08:36:47.865692+00:45
New South Wales,Arding,120,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",70,30,0,0,2021-07-18 08:36:47.865692+00:46
New South Wales,Ardlethan,104,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",79,11,0,0,2021-07-18 08:36:47.865692+00:47
New South Wales,Argenton,160,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",66,37,0,0,2021-07-18 08:36:47.865692+00:48
New South Wales,Argents Hill,99,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",56,22,0,0,2021-07-18 08:36:47.865692+00:49
New South Wales,Ariah Park,149,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",77,18,0,0,2021-07-18 08:36:47.865692+00:50
New South Wales,Armatree,85,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",78,22,0,0,2021-07-18 08:36:47.865692+00:51
New South Wales,Armidale,147,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",62,12,0,0,2021-07-18 08:36:47.865692+00:52
New South Wales,Arncliffe,112,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",70,36,0,0,2021-07-18 08:36:47.865692+00:53
New South Wales,Arndell Park,133,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",69,17,0,0,2021-07-18 08:36:47.865692+00:54
New South Wales,Arrawarra,86,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",57,30,0,0,2021-07-18 08:36:47.865692+00:55
New South Wales,Arrawarra Headland,145,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",83,18,0,0,2021-07-18 08:36:47.865692+00:56
New South Wales,Artarmon,143,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,10,0,0,2021-07-18 08:36:47.865692+00:57
New South Wales,Ashbury,114,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",84,30,0,0,2021-07-18 08:36:47.865692+00:58
New South Wales,Ashby ,94,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",73,25,0,0,2021-07-18 08:36:47.865692+00:59
New South Wales,Ashby Heights,85,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",73,19,0,0,2021-07-18 08:36:47.865692+00:60
New South Wales,Ashcroft,156,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",63,20,0,0,2021-07-18 08:36:47.865692+00:61
New South Wales,Ashfield ,145,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",54,40,0,0,2021-07-18 08:36:47.865692+00:62
New South Wales,Ashford ,133,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",79,33,0,0,2021-07-18 08:36:47.865692+00:63
New South Wales,Ashley,143,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",56,15,0,0,2021-07-18 08:36:47.865692+00:64
New South Wales,Ashmont,97,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",55,10,0,0,2021-07-18 08:36:47.865692+00:65
New South Wales,Ashtonfield,130,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",83,24,0,0,2021-07-18 08:36:47.865692+00:66
New South Wales,Asquith,96,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",59,32,0,0,2021-07-18 08:36:47.865692+00:67
New South Wales,Attunga,106,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",82,31,0,0,2021-07-18 08:36:47.865692+00:68
New South Wales,Auburn ,114,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",84,13,0,0,2021-07-18 08:36:47.865692+00:69
New South Wales,Austinmer,89,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,25,0,0,2021-07-18 08:36:47.865692+00:70
New South Wales,Austral,128,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",80,37,0,0,2021-07-18 08:36:47.865692+00:71
New South Wales,Avalon ,113,0,0,0,No Risk,Biological factors,"Heat, electricity and other environmental factors",85,16,0,0,2021-07-18 08:36:47.865692+00:72
