State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Northern Territory,Acacia Hills ,111,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,74,20,0,0,2021-07-18 08:36:47.865692+00:00
Northern Territory,Adelaide River,145,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,61,8,0,0,2021-07-18 08:36:47.865692+00:01
Northern Territory,Alawa,132,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,56,1,0,0,2021-07-18 08:36:47.865692+00:02
Northern Territory,Ali Curung,145,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,73,18,0,0,2021-07-18 08:36:47.865692+00:03
Northern Territory,Alice Springs,133,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,65,30,0,0,2021-07-18 08:36:47.865692+00:04
Northern Territory,Alpurrurulam,97,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,60,26,0,0,2021-07-18 08:36:47.865692+00:05
Northern Territory,Alyangula,90,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,56,14,0,0,2021-07-18 08:36:47.865692+00:06
Northern Territory,Amoonguna,135,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,72,1,0,0,2021-07-18 08:36:47.865692+00:07
Northern Territory,Ampilatwatja,116,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,65,7,0,0,2021-07-18 08:36:47.865692+00:08
Northern Territory,Angurugu,102,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,64,24,0,0,2021-07-18 08:36:47.865692+00:09
Northern Territory,Anindilyakwa,128,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,68,25,0,0,2021-07-18 08:36:47.865692+00:10
Northern Territory,Anmatjere,103,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,63,11,0,0,2021-07-18 08:36:47.865692+00:11
Northern Territory,Anula,135,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,58,7,0,0,2021-07-18 08:36:47.865692+00:12
Northern Territory,Araluen ,115,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,58,5,0,0,2021-07-18 08:36:47.865692+00:13
Northern Territory,Areyonga,126,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,61,8,0,0,2021-07-18 08:36:47.865692+00:14
Northern Territory,Arumbera,146,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,61,18,0,0,2021-07-18 08:36:47.865692+00:15
Northern Territory,Baines,123,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,74,23,0,0,2021-07-18 08:36:47.865692+00:16
Northern Territory,Bakewell,100,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,70,10,0,0,2021-07-18 08:36:47.865692+00:17
Northern Territory,Barunga,107,0,0,0,No Risk,Being hit by moving objects,Hitting objects with a part of the body,60,19,0,0,2021-07-18 08:36:47.865692+00:18
Northern Territory,Batchelor,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:19
Northern Territory,Bayview ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:20
Northern Territory,Bees Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:21
Northern Territory,Belyuen,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:22
Northern Territory,Berrimah,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:23
Northern Territory,Berry Springs,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:24
Northern Territory,Beswick,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:25
Northern Territory,Binjari,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:26
Northern Territory,Birdum,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:27
Northern Territory,Blackmore,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:28
Northern Territory,Borroloola,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:29
Northern Territory,Braitling,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:30
Northern Territory,Brinkin,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:31
Northern Territory,Buchanan ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:32
Northern Territory,Burt Plain,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:33
Northern Territory,Calvert ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:34
Northern Territory,Canteen Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:35
Northern Territory,Casuarina ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:36
Northern Territory,Chilla Well,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:37
Northern Territory,Ciccone,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:38
Northern Territory,Coconut Grove,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:39
Northern Territory,Connellan,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:40
Northern Territory,Coonawarra ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:41
Northern Territory,Cossack ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:42
Northern Territory,Costello,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:43
Northern Territory,Daguragu,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:44
Northern Territory,Daly River,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:45
Northern Territory,Darwin City,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:46
Northern Territory,Darwin River,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:47
Northern Territory,Davenport ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:48
Northern Territory,Desert Springs,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:49
Northern Territory,Douglas-Daly,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:50
Northern Territory,Driver,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:51
Northern Territory,Dundee Beach,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:52
Northern Territory,Durack ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:53
Northern Territory,East Arm,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:54
Northern Territory,East Arnhem,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:55
Northern Territory,East Point,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:56
Northern Territory,East Side,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:57
Northern Territory,Eaton ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:58
Northern Territory,Elliott ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:59
Northern Territory,Emungalan,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:60
Northern Territory,Engawala,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:61
Northern Territory,Fannie Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:62
Northern Territory,Farrar,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:63
